Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
2033-08,301.9257,302.8066,297.1794,294.91248,289.31943
2033-09,302.96722,304.95856,300.4388,295.565,291.2642
2033-10,303.55438,303.1474,302.04755,296.9328,294.19797
2033-11,304.54727,301.60324,302.11633,297.43912,296.4024
2033-12,301.4686,300.77936,300.9694,299.10687,298.60513
2034-01,301.50034,300.58844,300.6103,298.5138,298.1691
2034-02,300.97137,300.68842,300.43665,298.41187,298.31586
2034-03,300.34448,300.64362,299.70767,298.15155,296.4262
2034-04,299.98083,300.78534,300.15564,297.57642,295.58215
2034-05,300.0202,300.51514,297.59177,296.1131,293.15314
2034-06,299.6781,300.0629,294.69675,293.85828,287.72778
2034-07,299.77356,300.7579,296.07907,294.2793,288.27008
2034-08,299.62775,301.5706,298.20258,295.2557,289.77078
2034-09,302.7148,303.8297,301.878,296.2085,292.39224
2034-10,304.5783,302.07635,303.79095,297.79266,293.94016
2034-11,300.87128,300.57617,300.8855,297.43896,296.2953
2034-12,301.38696,299.84393,300.19345,297.85046,299.70895
2035-01,300.83694,299.78876,300.3538,298.6893,298.65616
2035-02,300.7138,299.92462,299.83667,298.05554,298.98822
2035-03,298.97565,300.1007,300.22186,297.62857,297.79904
2035-04,298.9666,299.08765,298.2761,296.7204,294.03873
2035-05,298.63864,299.15668,295.6642,294.14807,291.12613
2035-06,298.08435,298.79108,294.39426,293.32715,289.3847
2035-07,297.70462,299.1341,295.254,293.94696,289.7554
2035-08,297.5875,299.67273,297.84702,294.2897,292.4179
2035-09,301.01416,301.60504,300.78677,296.4075,293.1766
2035-10,301.24304,300.32822,300.34937,295.909,293.6839
2035-11,300.7042,300.0126,300.92264,297.00037,297.54962
2035-12,299.89648,299.36646,299.85556,297.14236,298.97
2036-01,299.16986,299.47278,299.63284,297.9237,299.49124
2036-02,298.99768,299.78125,299.26437,297.81525,298.13882
2036-03,298.8452,299.45764,299.6756,297.96445,297.78784
2036-04,298.45544,299.002,298.6238,296.50946,295.83682
2036-05,298.4282,298.82498,295.416,294.0203,291.1944
2036-06,297.82324,298.6963,295.02893,293.48016,289.5399
2036-07,297.76224,299.03995,295.0897,293.19296,286.56207
2036-08,299.00986,300.77338,298.32535,295.4383,289.80954
2036-09,300.88263,302.65216,301.15393,295.7677,291.53973
2036-10,302.6267,301.8755,301.35217,296.2145,293.2978
2036-11,302.60266,300.82376,303.44186,299.03772,297.21005
2036-12,300.63193,300.47037,301.0654,297.47067,298.07635
2037-01,299.76257,300.133,300.30298,297.71707,298.9804
2037-02,300.1753,299.87885,301.10242,299.54712,299.28287
2037-03,300.462,300.1725,300.3258,298.15833,296.97763
2037-04,299.6428,299.71893,298.9123,296.25043,294.2136
2037-05,299.3119,299.51245,296.2824,295.06934,290.1116
2037-06,299.0622,299.55127,295.31995,293.9641,289.25012
2037-07,298.7413,299.55716,294.7972,293.19275,286.20493
2037-08,298.92953,300.96838,298.99277,294.93018,291.80017
2037-09,301.59247,303.20038,304.13037,296.98026,292.86755
2037-10,304.99323,302.55255,302.8992,296.57513,294.01443
2037-11,302.98413,301.71573,302.95554,297.7826,297.31403
2037-12,301.84274,301.26355,301.96652,299.10156,298.79572
2038-01,301.50613,301.04276,301.1066,299.1412,299.77307
2038-02,301.94678,301.32166,302.04623,300.48352,298.5562
2038-03,302.21112,301.5232,301.2483,299.1231,296.7945
2038-04,301.58234,300.846,299.2714,298.31836,293.21304
2038-05,302.08215,301.20892,298.08633,297.0536,290.18353
2038-06,301.71417,301.59665,297.62436,295.68195,289.9968
2038-07,301.17426,300.96774,296.04807,294.57147,288.4446
2038-08,302.7398,303.09866,301.1091,296.50287,292.0611
2038-09,304.46503,303.51566,303.7985,297.4937,293.00558
2038-10,306.33032,302.5208,302.06226,296.12375,292.65543
2038-11,304.44922,301.2263,303.9761,299.1246,296.39804
2038-12,301.78143,300.71948,301.5552,298.53555,298.49414
2039-01,301.25574,300.4859,299.57568,298.3936,298.99258
2039-02,300.0696,300.39435,299.64352,298.58197,301.24786
2039-03,299.72876,300.2044,301.2885,299.59354,299.3456
2039-04,300.68408,300.26523,299.74872,297.3672,294.73734
2039-05,299.6048,299.5829,297.1538,295.42493,293.44888
2039-06,299.65594,299.78394,295.3018,294.07272,289.08032
2039-07,299.14258,300.52594,296.24625,294.07217,290.68048
2039-08,300.56946,301.0629,297.6655,294.90076,288.89346
2039-09,304.0794,302.03918,301.95712,295.877,292.8996
2039-10,304.8603,301.74393,305.12097,297.88654,294.79648
2039-11,301.117,300.32697,301.83627,297.42584,297.7126
2039-12,300.9748,300.10587,301.19714,298.83942,298.91916
2040-01,300.68915,299.5463,298.78152,297.85358,298.30493
2040-02,300.49368,299.8308,298.6946,298.33087,299.7114
2040-03,300.90503,300.0252,299.96112,298.45398,297.27518
2040-04,299.31088,299.4801,299.95074,298.04922,295.70087
2040-05,299.57733,299.27222,296.7246,295.16437,291.8397
2040-06,299.347,298.77924,295.3224,293.93048,289.16876
2040-07,299.03192,299.03888,295.77222,294.46695,288.43967
2040-08,299.01538,300.05557,297.48337,294.8905,289.3072
2040-09,302.1458,301.3117,301.41043,296.114,293.2774
2040-10,304.2093,301.20612,302.92282,297.2959,296.2636
2040-11,300.79,299.98425,302.1914,297.1919,297.9872
2040-12,299.87732,299.42056,299.73505,297.28516,300.2156
2041-01,300.67804,299.56354,299.50378,298.43134,298.15848
2041-02,300.13,300.0188,300.28064,298.15826,298.03827
2041-03,299.19025,299.79926,300.014,297.64618,297.53723
2041-04,299.23846,299.15588,298.79047,296.59216,293.64337
2041-05,298.70245,298.8686,295.4743,293.83624,291.50632
2041-06,298.35803,298.41553,294.6867,293.32184,289.8348
2041-07,297.90527,299.1964,295.79025,293.7575,290.46292
2041-08,298.0299,300.48782,298.60416,294.7069,291.7774
2041-09,301.70102,302.29047,302.80417,297.4634,293.65503
2041-10,303.703,300.5241,301.82306,296.6091,293.8751
2041-11,300.65112,300.13074,300.86536,296.85052,296.4874
2041-12,299.75662,300.10532,299.9684,297.28995,300.0911
2042-01,299.85846,299.56702,299.2147,297.62683,299.97018
2042-02,300.38605,299.9402,299.7008,298.03033,299.0162
2042-03,299.89456,299.85184,299.7832,298.60776,297.65964
2042-04,299.7342,299.36005,298.9919,296.67737,294.14438
2042-05,299.30762,299.25345,296.29922,295.00137,292.07245
2042-06,298.0722,298.7069,294.38596,293.33112,290.39972
2042-07,298.11307,299.2565,295.38495,293.63617,289.86414
2042-08,299.60205,300.99994,298.39252,294.99597,289.8792
2042-09,303.1805,302.8992,301.27786,295.87756,291.43076
2042-10,302.32755,300.8062,300.38284,295.6474,294.1648
