Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
1870-01,299.38428,298.77005,298.8228,297.40936,297.20782
1870-02,298.82724,298.96265,298.25153,297.10846,297.97946
1870-03,298.4749,298.43707,297.78116,295.62164,296.06323
1870-04,297.81525,298.0788,295.74088,294.83966,291.68085
1870-05,297.55438,297.75894,294.34048,293.09845,291.59985
1870-06,297.50244,298.07132,292.9973,292.13385,287.8018
1870-07,297.2731,298.271,293.21182,291.63818,287.95383
1870-08,298.1925,299.7401,296.1674,293.9325,288.86737
1870-09,302.54443,300.857,299.75443,295.05682,290.43652
1870-10,301.8576,299.52502,299.41034,295.93045,292.50565
1870-11,300.326,299.0377,299.8073,297.68347,295.29367
1870-12,298.66302,298.38,298.63336,297.576,297.6713
1871-01,298.86154,298.5895,297.927,297.31366,297.0817
1871-02,298.09164,298.66953,298.13004,297.01633,297.8728
1871-03,297.5592,298.73413,297.5507,296.55414,296.79843
1871-04,297.61154,298.15067,297.03723,295.5608,293.64838
1871-05,297.82825,297.6698,294.2612,293.55615,289.61966
1871-06,297.3449,297.37253,292.69757,291.62375,287.8444
1871-07,296.65598,297.6084,293.43555,291.98004,288.19727
1871-08,298.41443,299.47266,296.66785,294.44467,288.217
1871-09,301.30078,300.603,300.19775,295.74634,291.6886
1871-10,301.21558,299.85202,299.7611,296.3053,293.936
1871-11,301.91138,299.53342,300.629,297.38104,295.60617
1871-12,298.5328,298.68854,297.79178,296.26834,296.88626
1872-01,298.76154,298.63458,298.17346,296.70807,298.56723
1872-02,299.39398,298.88406,298.7719,297.28168,296.71765
1872-03,298.59756,298.38568,297.85715,296.05283,296.4386
1872-04,297.64044,298.04163,296.84995,294.95126,294.9858
1872-05,297.94324,297.98364,293.60944,292.98804,288.00674
1872-06,297.4242,297.16992,292.77094,291.35645,287.2482
1872-07,297.1822,298.17554,294.15347,292.61157,289.20627
1872-08,298.47122,299.39572,297.09042,294.10986,289.5882
1872-09,301.33966,300.5691,299.80768,295.05762,290.85403
1872-10,301.24203,300.0658,300.6001,295.93414,293.0178
1872-11,300.9705,299.3167,300.06293,295.35464,295.29633
1872-12,299.6178,298.8206,298.87112,296.88025,296.86627
1873-01,299.2226,299.43182,297.7169,296.13876,297.31705
1873-02,298.38275,299.2209,297.99738,297.16254,297.52237
1873-03,298.5229,299.33322,298.4203,296.34735,296.2874
1873-04,298.03287,298.80045,297.11313,295.23145,293.2174
1873-05,297.77106,298.34344,293.37454,292.22974,288.7369
1873-06,297.38196,298.14218,292.79388,291.34607,288.4021
1873-07,297.64987,298.44696,292.82413,291.89545,286.58554
1873-08,298.53436,299.98297,296.35452,294.26703,289.63135
1873-09,302.2445,301.60577,299.1325,295.69016,290.62064
1873-10,300.51465,300.85077,299.58182,295.09683,293.02536
